锘夸氦鏄撴椂闂�,鍏紬璐﹀彿ID,鍟嗘埛鍙�,鐗圭害鍟嗘埛鍙�,璁惧鍙�,寰俊璁㈠崟鍙�,鍟嗘埛璁㈠崟鍙�,鐢ㄦ埛鏍囪瘑,浜ゆ槗绫诲瀷,浜ゆ槗鐘舵€�,浠樻閾惰,璐у竵绉嶇被,搴旂粨璁㈠崟閲戦,浠ｉ噾鍒搁噾棰�,寰俊閫€娆惧崟鍙�,鍟嗘埛閫€娆惧崟鍙�,閫€娆鹃噾棰�,鍏呭€煎埜閫€娆鹃噾棰�,閫€娆剧被鍨�,閫€娆剧姸鎬�,鍟嗗搧鍚嶇О,鍟嗘埛鏁版嵁鍖�,鎵嬬画璐�,璐圭巼,璁㈠崟閲戦,鐢宠閫€娆鹃噾棰�,璐圭巼澶囨敞
`2019-08-01 15:20:36,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000343201908015055653441,`201908011520203816,`ozxDownVVqprIPuCdMFQQwUonovc,`APP,`SUCCESS,`CFT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`榛勯噾浼氬憳1澶�,`201908011520203816__test__app,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-03 17:38:45,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000357201908037848508886,`201908031738311920,`ozxDowpSDSr87t0rR_U7mg9Q5FF8,`APP,`SUCCESS,`CCB_DEBIT,`CNY,`60.00,`0.00,`0,`0,`0.00,`0.00,`,`,`榛勯噾浼氬憳3涓湀,`201908031738311920__test__app,`0.60000,`1.00%,`60.00,`0.00,`
`2019-08-07 16:04:01,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000354201908078178253976,`201908071603545889,`ozxDowsd_WCz33UiBK7BvolcmL1w,`APP,`SUCCESS,`CFT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`榛勯噾浼氬憳1澶�,`201908071603545889__test__app,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-08 10:54:03,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000349201908081851756138,`201908081053473179,`ozxDowsVQ56qq8r4LeWP644L6GAI,`APP,`SUCCESS,`CFT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`榛勯噾浼氬憳1澶�,`201908081053473179__test__app,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-10 00:39:40,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000345201908100803887882,`201908100039341840,`ozxDowv7GNHYTYZO58gky2njVE1k,`APP,`SUCCESS,`CFT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`榛勯噾浼氬憳1澶�,`201908100039341840__test__app,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-12 18:30:22,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000340201908125699157513,`201908121830149694,`ozxDowteNcWm7F1klj0DgHg2IsKY,`APP,`SUCCESS,`CFT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`榛勯噾浼氬憳1澶�,`201908121830149694__test__app,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-12 16:17:56,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000347201908123982176836,`201908121617426550,`ozxDowgfWn2d0Vf2OBYNnN_SUAaU,`APP,`SUCCESS,`SPDB_DEBIT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`榛勯噾浼氬憳1澶�,`201908121617426550__test__app,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-13 13:22:02,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000346201908134114721134,`201908131321575974,`ozxDowhiSUrmFYktNXa2pYM1fyYw,`APP,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`榛勯噾浼氬憳1涓湀,`201908131321575974__test__app,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-14 14:22:14,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000340201908147279119904,`201908141422064840,`ozxDowgfWn2d0Vf2OBYNnN_SUAaU,`APP,`SUCCESS,`SPDB_DEBIT,`CNY,`15.00,`0.00,`0,`0,`0.00,`0.00,`,`,`榛勯噾浼氬憳1鍛�,`201908141422064840__test__app,`0.15000,`1.00%,`15.00,`0.00,`
`2019-08-14 11:17:46,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000340201908143884856361,`201908141117383306,`ozxDowpeVKrR2shVUwj92LAgv-Lk,`APP,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`榛勯噾浼氬憳1涓湀,`201908141117383306__test__app,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-14 21:23:24,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000356201908142939169979,`201908142123085690,`ozxDowoIqa1Ax8FecJCBljHmJVVo,`APP,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`榛勯噾浼氬憳1涓湀,`201908142123085690__test__app,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-18 17:47:52,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000340201908183380002421,`201908181747221694,`ozxDowpgox1B2QmfhCymtt1i6vUU,`APP,`SUCCESS,`CFT,`CNY,`15.00,`0.00,`0,`0,`0.00,`0.00,`,`,`榛勯噾浼氬憳1鍛�,`201908181747221694__test__app,`0.15000,`1.00%,`15.00,`0.00,`
鎬讳氦鏄撳崟鏁�,搴旂粨璁㈠崟鎬婚噾棰�,閫€娆炬€婚噾棰�,鍏呭€煎埜閫€娆炬€婚噾棰�,鎵嬬画璐规€婚噾棰�,璁㈠崟鎬婚噾棰�,鐢宠閫€娆炬€婚噾棰�
`12.0,`210.0,`0.0,`0.0,`2.1,`210.0,`0.0
